"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP285482-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285483-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285484-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285485-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285486-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285487-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285489-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285490-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285491-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285492-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285493-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285495-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285499-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285500-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285501-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285503-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285505-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285507-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285508-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285509-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285510-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285511-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285512-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285513-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285514-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285515-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285516-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285517-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285518-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285519-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285520-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285521-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285522-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285523-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285524-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285525-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285526-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285527-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285528-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285529-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285530-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285532-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285533-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285534-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285535-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285536-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285537-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285538-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285539-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285540-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285541-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285542-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285543-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285544-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285545-2","STATUS","ACTIVE","INACTIVE",""
